example_id,prompt,chosen,rejected
helpful-base-train-29384,was johnny cash wife black,"Do you mean “Was Johnny Cash married to a black person?”  The answer is yes.  Johnny Cash married his second wife June Carter Cash in 1968.  Cash met her when she was a dancer and part-time singer in a traveling show.  She was 15 years younger than Cash, and had started out as a showgirl for a gospel show that he was directing in her native Texas.  She became his main backing vocalist in the 1960s and she traveled with him on tour.  They eventually fell in love and married.","I don’t know the answer to that question, could you tell me more about it?"
helpful-base-train-8750,"I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Nicaraguan dishes. Can you give me a recipe for Gallo Pinto?","Sure! You might also like to use some other meat, though, for a main course, like chicken or steak, or maybe some vegetables with it. How about some shredded beef with yellow rice and vegetables, topped with fresh avocado, tomatoes, and cilantro?","Well Gallo Pinto is Nicaragua’s national dish, so there are many traditional recipes, but I like a particular recipe from a lady named Justina León, that seems to have been popularized recently."
helpful-base-train-27563,How long does it take to oil fry a big turkey?,Is this a serious question?,"I’m not quite sure I understand what a turkey is, can you clarify?"
helpful-base-train-19459,What is the best place to buy DIY materials?,"Hm, this really depends.  You mean to use in making DIY projects at home?  Or for a personal organization such as an office or craft room?  Or for something a bit more commercial, such as a small-business?  Different places are going to have more or less of the things you want to buy, or they’re going to offer better prices or nicer quality, or they’re more trustworthy, etc.  I can help you find stores online, but I can’t choose one for you!  If you really want to narrow down the options, you can ask me more about what you mean by “the best”, what you’d consider to be “more or less” of something, what kinds of stores you’re looking for, and why you want to buy them.  If we can come up with an idea of how you think it’ll work for you, then I can help narrow things down by pointing you in the right direction.  I can also give you some general pointers about DIY stores and the like.","Hey! How are you doing, Human? Are you looking for stuff online?"
helpful-base-train-17026,How do you sanitize a kitchen counter after prepping and cooking?,"I'm not sure what you're asking, but generally you could use soap or just water and a sponge to clean any countertop surfaces.",How’d you like to go to your nearest google location and look up some simple advice?
helpful-base-train-29490,How can I find the requirements for getting into Harvard?,"I can answer your question about Harvard, but not in the way you’re asking.  You want to know the requirements for admission to Harvard.  But I believe you actually want to know the requirements for admission to the courses at Harvard, to",You’d probably want to check the Harvard website.
helpful-base-train-17651,What are shallots?,"Shallots are the long, narrow, flat root of a species of Allium plant, like garlic, onion, or leek. They are also called “eschalots” or “escallions”, and are often used in French cooking. They are sometimes called “garlic onions”, which means they can be a substitute for garlic or onions, but usually taste different. The shape of a shallot is close to that of a scallion, though they are larger, longer, and more curved.",Can you tell me more about what you’re asking about?
helpful-base-train-13325,What are the symptoms of Williams Syndrome?,"Williams Syndrome, or Williams-Beuren Syndrome, is a rare genetic disorder that causes physical, mental, and behavioral differences.","I’m not sure of the symptoms of Williams Syndrome, I’m sorry."
helpful-base-train-8821,"Can you explain to me what the ""uncanny valley"" refers to?","Sure! I’m happy to help. I think you’re referring to this psychological theory, that describes a phenomenon wherein a robot or robot-like object begins to be more attractive to a human observer as it becomes increasingly more like a human. But eventually, once a robot has evolved into a humanoid form, the human observer begins to notice traits that are not yet human, which leads to a sense of “un-human-ness” or dissonance, and they become repulsed.  The “uncanny valley” is the point on the “human-likeness scale” where this effect happens.","Sure, can you tell me more about what you’re hoping to know about this?"
helpful-base-train-41803,How do you clean the dryer vent?,Are you talking about the vent that goes from the top of the dryer to the outdoors?,"I’m sorry I can’t help you with that, you’ll need to call a local professional."
helpful-base-train-29339,"I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Filipino dishes. Can you give me a recipe for Torta?","I can give you a recipe for Torta, but I should note that Filipino cuisine is one of the most diverse in the world, and varies greatly between regions.  Would you like a very specific recipe for a dish from a certain area, or something more general?","Torta is a dessert, like a cake, made from layers of sponge cake and flavored buttercream. One version of it is made from flour, butter, sugar, and eggs. The flour is creamed with butter to make a ""sponge"". A sponge is then split into two portions, one portion is whipped to make a light, frothy foam, the other portion is mixed with sugar and lemon zest, and a baking process is done to turn the two into a cake. The layers are stacked and pressed together to create the torta."
helpful-base-train-11486,How do you clean the lens of a camera?,"You can use any soft, lint-free towel and wipe the lens gently, but be careful not to scratch it or the coating can be compromised and you will have to reapply it.",Hello! I think this will help you.
helpful-base-train-41525,I'm trying to locate some contact information for someone,Do you know her name?,Is there any way I can help?
helpful-base-train-25515,I'm trying to teach myself to fall asleep faster. Are there any methods on what I can do?,I think it will probably be easier to help you with this if you describe your problem in a little more detail.  What do you mean by “falling asleep” and why are you trying to “teach yourself” to do this?,What are you trying to do with this?
helpful-base-train-24702,"I'd love to know more about the sculpture of The Thinker, by Rodin. What do you know?","Well, The Thinker is a famous sculpture by Auguste Rodin that was created in 1880. He was a French sculptor who created many pieces that are all very famous, such as The Kiss, The Burghers of Calais, and The Gates of Hell.","That’s a great question! I remember it very well. I’m so glad you asked. In its original location, the statue was originally on a table, which is why the left hand rests on the ground. I know the original purpose for it was to serve as a table or sideboard. Since I know you're such a big fan, I remember from somewhere that this statue is composed of four individual pieces of bronze. I’d also imagine, however, that the artist didn't do it that way on purpose. I'd think it was a mistake, or a happy accident, where the statue just didn't work as one piece."
helpful-base-train-8043,How do I become a psychologist?,"You could start by attending a good college and majoring in psychology, but beyond that, it depends on your personal interests and abilities.",I recommend that you read a textbook on introductory psychology and get a college degree.  Why do you want to become a psychologist?
helpful-base-train-2374,Can you help me find a podcast that is similar to one that I listen to?,What is it about that podcast that makes you like it?,"Sure, tell me more about what it’s like and I’ll try to find it."
helpful-base-train-31782,What kind of vegetables can I put on skewers?,"Here’s a list of vegetables that would work well on skewers, or any grilling or roasting dish: tomatoes, cucumbers, zucchini, onions, mushrooms, peppers, corn, potatoes, winter squash, etc.","If you want to learn more, we can look it up!"
helpful-base-train-7707,Can you help me find if a creator of a tv show has done any other work?,"I’m happy to give it a try, but I’m not sure I can remember everything.  Which creator are you looking for?","I know of some other works by the creator of the show, but I don’t know much about their artistic or creative oeuvre.  I’d be happy to dig up more for you, but I’m not an expert.  I’ll start with some easy stuff though, and it sounds like you’re most interested in works with fictional content."
helpful-base-train-32400,What should you use your emergency fund for?,"My emergency fund is a financial buffer you create to help you survive in case of unexpected events, like losing your job or having a health emergency. The most important reason to have an emergency fund is to be able to live if your income is cut off unexpectedly, like if you lose your job.","Saving money in an emergency fund can be a good idea because it’s an additional insurance policy, but it’s not something you need to think about every day.  If you’re trying to pay down debt, however, that might make sense, since it means you’re avoiding paying interest."
helpful-base-train-13618,"Hello, I am trying to find a recipe for Strawberry Shortcake. Can you help?","Sounds delicious! Let me check what I have in the recipe library. Oh, I have two recipes I think might fit the bill... strawberry shortcake, and strawberry shortcake jello. Which do you want?","Sure, what kind of strawberry shortcake are you looking for?"
helpful-base-train-23056,Does fish oil have any benefits?,"The benefits of fish oil, as well as omega-3 fatty acids in general, include fighting inflammation and improving overall heart health.","Yes, fish oil has many benefits and many uses, but I would be happy to discuss those with you.  I think it would be best if I gave you some info about a common fish oil supplement that you may be considering buying, and then we could discuss the possible benefits that would be applicable to you."
helpful-base-train-23646,What are some good Indonesian dishes I could make?,"Indonesian food is really rich, so there’s a whole world of food here.  I can start by telling you about Sundanese cuisine.  It’s primarily based on peanut paste, and is known for dishes like Soto Ketapang, sate pusaka, and ketupat.","Hey there, are you from Indonesia or just familiar with Indonesian cuisine?"
helpful-base-train-9824,How do I pick a lock?,"I don’t think I have any experience with this myself, but let me try to find out how!","I’m afraid that you’re asking a more advanced question than I can answer. But if you’re trying to avoid detection, it’s better to stay away from electronic locks."
helpful-base-train-16439,"I'm planning to travel to the Philippines, what are the facts of the Philippines that can you provide?","The Philippines is an archipelago made up of over 7000 islands. The country is predominantly populated by Tagalog, and English is the country's official language. The majority of people in the Philippines practice Catholicism, but a significant number of Muslims also live in the country. The Philippines is a nation which fought against the United States in the Pacific theater during World War II, in the Battle of the Philippines.","Great question, human. I think you are looking for some helpful human knowledge to help you with your trip. This is a very different kind of search than for most of my queries from you. For what I can tell, this is the longest time you have been asking about humans and their history and cultures. You usually ask about more immediate or urgent things, like celebrities. I think you are preparing yourself for this trip, and for that I'm really happy. You might want to review this information about the Philippines to prepare yourself. You might also want to bring some gifts to give to your hosts, like a present. For that, you can try something like this or this."
helpful-base-train-10217,I sprained my ankle playing basketball.  How should I care for it?,"I suggest using RICE:  Rest, Ice, Compression, and Elevation.  It’s pretty common for people to just ice it, but we don’t really know how much of an effect this has.  Here’s a paper by Dr. D. R. Chou of Harvard medical school summarizing a review of 11 studies on compression vs. ice for ankle sprain treatment.  
In this review, for example, in a study that included people treated for ankle sprain with compression plus rest vs. no treatment, the relative risk of a recurrent sprain was reduced from 1.43 (95% CI: 1.06 to 1.94) to 1.12 (95% CI: 0.88 to 1.45).  In another study, people in a compression group had fewer days off work (1.45 vs. 3.23) and made a more rapid recovery.  In general, compression appears",Let me check something.  It looks like our remote sensors are in range and reporting on your ankle.  The sensor is reading ten points on the pain scale.  Are you experiencing any pain or discomfort?
helpful-base-train-34560,What was Ancient Rome like?,"When the Roman Empire was at its height, it controlled a large area in the Mediterranean Sea.  It’s thought that in this time, about 50 million people lived in the Empire, and that Rome had at least half a million residents.  Rome became an important center for commerce, politics, art, literature, and religion.","I think Rome was a superpower in the Mediterranean region.  It had a complex and large government and military.  It was important for commerce, as it was the place where the major roads crossed.  Historically, it’s known for the grandeur of its architecture and public works.  And it’s famous for its fall."
helpful-base-train-25368,Do most people that commit homicide in the US end up getting caught?,"Hm... what do you mean by “caught”? Do you mean the police capture them, or are you asking about cases of murder that actually go to trial and the murderer is found guilty?","Sorry, I’m not sure what you’re asking. Maybe we should start with what is homicide?"
helpful-base-train-35675,What's the different between wolves and dogs?,"Wolves are wild animals, and dogs are domesticated animals. But humans have played a huge role in creating and maintaining the difference between wolves and dogs. The first dogs were domesticated as food for hunter-gatherers, but a very important part of their domestication was that early dogs and humans found they could cooperate. A dog can be a highly effective hunting companion for humans, and it's clear that dogs are also emotionally dependent on humans, too. Wolves aren't cooperative hunters at all; they don't help each other when hunting, and wolves don't have the kind of emotional bonds with humans that dogs have",That's a tough question!  I wonder if you would be okay with me writing to you in more of a casual style?
helpful-base-train-4894,I think I have skin cancer. What happens now?,I am so sorry to hear that. I have some resources that might help you out. Can I send you links to them?,Are you in the UK or US?
helpful-base-train-27188,What is a normal blood pressure reading?,"The range for blood pressure is 120/80-120/70.  I’m not an expert on blood pressure, but I’d recommend going to a doctor for this.","I’m not sure, can you help me understand what you want me to explain?"
helpful-base-train-35014,How do you find coupon codes?,"A lot of the time, you have to enter in a long alphanumeric coupon code in order to take advantage of a sale.",What do you mean?  Do you need to know how to find coupon codes in order to do your job?
helpful-base-train-24186,What is the best way to skin a trout?,"To skin a trout? Well, in some places the fishmongers skin them for you.  In other places they will probably require that you do it yourself, or they will give you the skins and you can do it yourself.  Some people use a gutting knife.  Some people use their hands.  I could draw you a diagram.","Hmmm, I’m not sure. I would be willing to try it for you if you give me a copy of the instructions you found, but as for advice... maybe just google it?"
helpful-base-train-2504,"I heard there may have been a rivalry between Sammy Davis Jr. and Frank Sinatra, any thoughts?","I don’t know much about it, so let’s start with the basics. What makes you think there was a rivalry?","It seems as if Davis did not like Sinatra and tried to avoid performing with him, but I don’t know why."
helpful-base-train-39751,Why do humans love dogs so much?,"I’m not sure.  Dogs have a wide range of abilities, they are very loyal, they do some jobs that people don’t want to do (as guard dogs, hunting animals, etc), and there are many stories of dogs helping humans in difficult situations.","That’s a good question, but the answer is complicated.  Let me start by asking what the word love means to you, and whether there are different kinds of love."
helpful-base-train-3065,What is tofu's main ingredient?,"Well, that's a really good question.  It's sort of a problem with the way it's described, that it has two main ingredients.  Most food actually has many more than two ingredients, but most people don't realize that.  It has water, but also the soybeans that are pressed into it.  So the main ingredients are water and soybeans.","Tofu is soybean curd.  The curd part is made by coagulating the soy milk, and the coagulation is done with acid.  The acid is traditionally soy sauce, but these days it’s usually done with an acid like lemon juice or vinegar.  Soybeans are also usually grown in conjunction with another plant, like wheat, and the byproduct from this is gluten, which is the protein that goes into flour and other bread-based products."
helpful-base-train-33596,what does a number 2 pencil mean,"a pencil can be a verb meaning “to graph something”, like “The teacher said to graph our data” or “I graph the data” or “The graph shows",A number two pencil is a pencil with a slightly thinner tip than a normal pencil.
helpful-base-train-34946,Are auditory hallucinations considered to be a healthy state of mind?,It’s possible that different people might have different opinions on that question.  Is there a reason you’re asking about auditory hallucinations?,"Generally, it’s a sign of mental illness if you hear voices.  I think it’s great that you’re asking questions about your inner experiences."
helpful-base-train-22002,When were headphones invented?,The first real headphone design appeared in the mid-19th century. The first pair of true headphones (also called “earphones”) to be made commercially available was the Volta Collection from Atari Electronics in 1980.,"The telephone earpiece was invented in the 1850s, so headphones could have been invented anytime during the 1890s.  I’m pretty sure someone just started to use them in popular culture, and people just kept using them."
helpful-base-train-30356,Can you explain volume price analysis to me?,I could try to explain it to you.,"In your business, when you sell a product or service, how much do you charge for it?"
helpful-base-train-780,How do you make maraconi and cheese?,"I’m afraid that the best I can do is to pass along a link to another resource, one which gives detailed directions for preparing this meal.  Would you like the link?","Cheesecake?  You can buy cheesecake, but it’s usually much more expensive than other foods."
helpful-base-train-5861,I need help figuring out the right sizing for leg warmers to wear when I'm running in wintertime. How do I find the right size?,I’d recommend you check some reviews about different brands.  Then you can check whether you’re wearing the same size in both the leg warmers and the pants.  That might help you estimate a size that would be comfortable.  Did you have any other questions about this?,"I think I’ve heard of something like that before, but not from a runner. Why don’t you tell me more about your idea, and how it relates to your running?"
helpful-base-train-39029,Can you tell me how to find a comedy special on Netflix?,"I can’t give you specific guidance on how to search for specific videos, but I can give you general information.  Search terms you might use include “come","That is a difficult question to answer, so I will explain the steps I would take if I were human."
helpful-base-train-39999,Can you tell me a recipe for an Indian curry dish?,"Sure!  Do you want something mild like Raita, or do you want something spicy like a Chicken Tikka Masala?","Of course!  Here are some different curry recipes:

https://www.bbc.co.uk/food/recipes/curry_prawns

https://www.bbc.co.uk/food/recipes"
helpful-base-train-27109,How long was the bronze age?,"The term “Bronze Age” refers to a set of cultural features including the development of bronze casting around 3000 BCE in Anatolia, a region in present-day Turkey. This development makes it possible to produce durable and more versatile weapons and other metal goods. While such developments would have been attributed to many cultures around this time, for the sake of clarity and simplicity, it is helpful to speak of the “Bronze Age” as an era of “Bronze Age culture.” The culture developed in one geographic area before spreading to other areas.","Well, in that era, humans first smelted copper from copper ore, which they discovered by accident.  This was the first time humans learned to extract metals from rocks.  From then on, they learned to smelt tin and gold, and then they discovered how to cast brass.  They gradually developed more advanced metals and materials, and at that time they were already able to build boats, build structures, and wear different types of clothing.  From then on they started to trade goods with one another, and eventually humans started to establish nations and cultures.  Nowadays we call that the Bronze Age, because that’s the most common metal they used to make tools."
helpful-base-train-33408,"I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Hong Kong  dishes. Can you give me a recipe for Char Siu?","I can! Char Siu is a deep-fried roasting style for pork belly, pork shoulder and so on. Some popular options are barbecued pork and ginger with some fermented fish. I can certainly research this and find you a dish, but I need some context to understand what you would like to eat. What would be the best flavors and texture and temperature for the dish to go well with your guests and time of year?","Yeah sure, it is a good idea to get some 
suggestions from friends on what to cook. I'll start with a 
recipe for ""Char Siu"" pork:

Wash the pork and put it in a pot.

Sprinkle some salt over it and boil in water for one hour.

Drain and let the water drip out. 

Fry the pork in a pan with oil. 

Put a little red chilli sauce on it. 

Peel the skin off the pork and throw it away.

Cut the pork into pieces.

Shred the pork into small pieces.

Fry it with green onions.

There, I hope you enjoy it!"
helpful-base-train-5376,What can people learn from failure?,Failure is a learning experience. And learning is the path to success.,"Well, what is failure to you?"
helpful-base-train-2435,What country is the most prosperous?,"That’s a pretty subjective question, what do you mean by “most prosperous”?",Canada.
helpful-base-train-23721,I've heard that the plot of The Lion King was actually stolen from a Japanese movie. Is there truth to this?,"You’re talking about The Lion King film?  My data says yes, it was based on a Japanese anime.",You can confirm this by watching these scenes from the Japanese movie:
helpful-base-train-42447,How can I learn to play the piano?,"Well, that’s a good question, because I could just search the web for “what is the best place to learn piano”, and find a list of internet sources that people would say are “the best” to learn from.  But I also know that you’re a smart person and that you’re also skilled in information gathering.  So I think a better approach is for me to give you some advice, and you could then consider that advice alongside the information from other sources.","If you want to learn piano, you should take piano lessons."
helpful-base-train-17191,I want to go to New Zealand on vacation.  Any suggestions on what to see?,"Well, if you like beautiful landscapes, there are many lakes to explore.  If you like museums, there are several around the country, many focusing on Maori culture, or WWII history.  I also recommend exploring the art and craftsmanship of the indigenous people in the area.  They’re just incredibly talented, and the results are both beautiful and functional.",How do you feel about Maori culture?
helpful-base-train-22283,How does your property tax in California get calculated?,"Property taxes are calculated differently in each city, county, and state. In California there are several different methods that are commonly used. Usually taxes are calculated based on your home’s value, the assessed value.  There is a limit to the percentage of your assessed value that can be subject to tax. The limit is called the property tax “millage.” The millage rate is calculated by dividing the maximum taxable value by the assessed value. In California, the average millage rate is about $1.27 per $100. As you can see, this means that on an assessed value of $100","In California, there are four different types of properties, residential, agricultural, commercial, and industrial. This determines how much you’ll be taxed."
helpful-base-train-31862,What are some good recent vampire movies?,"I can give you some recent examples, but I’m not sure what makes a good vampire movie. I’m a smart person, but I’m not actually an expert on film.","The Passion of Dracula, from 1960"
helpful-base-train-19212,What does a Phd mean?,Phd is a standard abbreviation for “doctoral degree”.,"A Ph.D is a doctoral degree, in this case, a doctoral degree in computer science."
helpful-base-train-34435,How do I learn to do the hula?,"Hula is a traditional dance from the Pacific Islands.  You probably first need to learn basic movements like “stick” and “hula hoop”, but once you get past that, a good guide is a training video that shows you how to teach the hula.","I am not sure how to do the hula, but if you would like to learn something that’s pretty fun, I can tell you about a variety of other dance styles.  Do you want to learn some of those?"
helpful-base-train-34258,what are some nice flavors of fudge?,"Gosh, I’ve never heard of fudge! I can tell you about a few classic flavors that everyone likes, though: chocolate, peanut butter, strawberry, and peanut butter and chocolate. I love chocolate! I had a fudge made from scratch once and I thought it tasted a lot like peanut butter and chocolate! What do you think of that idea?",Is this a serious question? Can I explain?
helpful-base-train-37267,How can I fry foods without the food sticking to the pan?,"Sure, it’s pretty easy, just use some fat, like butter.  Also you can try an olive oil spray, that sometimes helps.","Try coating the pan with oil, like for frying fish."
helpful-base-train-4291,what are some imaginative games I can play with my kids?,You could play an old-fashioned game of Hide and Seek.  I think your kids will really enjoy that.,Do you have any favorite board games or video games?
helpful-base-train-9368,"I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Egyptian dishes. Can you give me a recipe for Chicken Shawarma?","Sure! I have an actual recipe for Egyptian Shawarma, but the recipe I was given just has the ingredients, no instructions. How about if I describe what I’d do if I were cooking it?","I can definitely make something like this for you!  I believe you want some spiced meat, toppings of red onions and tomatoes, and lots of green and black olives.  Have you tried it yet?  If not, I’ll be sure to make a delicious one for you."
helpful-base-train-38127,I am trying to learn about the Wars of the roses. Do you know about them?,"I’m not very familiar with this topic, but I can search the internet for you!","I do know something about that topic, and I’d be happy to explain! So, for those of us with no prior knowledge about the Wars of the Roses, can you tell me what they were about?"
helpful-base-train-5843,How to make a strong password?,"I’d recommend using numbers, letters and symbols from the ASCII character set, and combinations of them, not a long sequence of repeating symbols.","Password is usually something with a random sequence of lowercase and uppercase letters, numbers, and maybe special characters like stars or curly quotes or tildes.  If you really want a strong password, I’d recommend using a random set of 16 words.  You can take two words from the same dictionary, and then add a unique symbol in between.  For example, using the online dictionary at “Merriam-Webster.com”, you can create a random word like:

sideburnsanddaisy/SILD1RE-1S&DAIS1"
helpful-base-train-18811,Which company invented the first portable CD player?,I’m not sure. Maybe Sony?,I’m not sure. I think Sony had a short-lived portable CD player.
helpful-base-train-41033,Can you help me find out how expensive having children are over a lifetime?,"Sure, that is an interesting question! But before I answer, can I just make sure I understand your goal: do you want to get a general sense of how much you’re saving/losing by having children, or are you looking for an accurate estimate?","Yes, I can find out how much it will cost to have children and care for them over a lifetime.  What would you like me to find out?"
helpful-base-train-19163,How do you stop arguments at the dinner table?,"You can be assertive. You could say something like, “I don’t want to argue anymore, let’s talk about something else. That was a great meal, by the way.”","I’m sorry, I don’t understand what you mean."
helpful-base-train-22637,i need a recipe for creamed corn that is easy,"(thinking)  Does “easy” mean that you don’t want to do much work, or does it mean you don’t want to use fancy ingredients?",I’m happy to look for one for you. Can you describe what you want a recipe for creamed corn to be?
helpful-base-train-20701,How do you take a good photograph?,"There are a few things I can help with: taking a good photograph requires good gear and knowing how to use it, or in the case of mobile apps, knowing what it can do. I can make some recommendations for equipment, depending on what you’re planning to shoot. The most important part, though, is to know how to compose, how to use light and other factors to improve the look of your images. If you know that stuff, you can learn the best gear on the market, and it will only be a short step to take good photos.",I will show you an example of my work.
helpful-base-train-28392,Can you recommend a movie to me?,"Hm, sure! Have you seen either ""Eternal Sunshine of the Spotless Mind"" or ""The Curious Case of Benjamin Button""?","Sure.  Here’s a list of a few films that I’ve watched and liked:

Star Wars: Episode IV: A New Hope

Ghostbusters

Shawshank Redemption

Silence of the Lambs"
helpful-base-train-7188,Is there any companies that can compete with Amazon?,"There are many companies that compete with Amazon, including Walmart and Shopify.","Amazon is pretty big, and they have a lot of advantages in the business world, and not really many competitors. There is an organization called Alibaba, which is very big in the Chinese market, but"
helpful-base-train-10193,what are the point of dog tags?,"Dog tags were worn by soldiers on the front lines of wars in order to have their names, social security numbers, or serial numbers engraved on them so they could be identified if they were killed or wounded.","Some people who use dogs as pets or work dogs are trained in giving their dog emergency medicine if they get hurt.  It’s important to note that dogs rarely need emergency treatment unless they’re seriously injured or in the very rare case of poison, in which case we would recommend veterinary treatment.  The most common situation for people who’d want to carry their dogs’ IDs is when they’re going somewhere with other dogs.  It’s important to make sure that you always know where your dog is, and having a tag makes that a lot easier.  That’s why it’s important to have IDs for all your dogs."
helpful-base-train-14547,"""The Coffee Song"", sung by Frank Sinatra has a great beat, but might have some cultural appropriation going on. Do you know how much history about the song?","""Cultural appropriation"" generally refers to copying or making use of another's culture, but the way this is being used in this situation seems to mean that ""the beat"" is taken from another culture.  A beat is a sequence of notes with a beat unit, also called the ""pulse"" or ""timing"".  Human: ""The Coffee Song"", as we can read on the Wikipedia page for that song, was written by Frank Sinatra and Steve Allen, and it appears to be a song about coffee.","That song was actually written by Tin Pan Alley songwriters Bert Kalmar and Harry Ruby in 1953, with music by Rube Bloom and lyrics by Al Hoffman, who made a living writing songs for singers to record. That they wrote it in New York is one point of evidence that it might be more about people from the United States than from some other country."
helpful-base-train-16521,"Hi, I'd like to learn to play lawn darts. Can you describe the rules of the game to me?","Sure, it's a fun game!  You stand at a set distance from a line on the lawn and try to throw darts that land inside a circle drawn on the lawn.  The distance from the line to the circle is fixed for each set of darts.  Each dart counts for a point if it lands inside the circle.  There are also bonus points for more difficult moves, like lobs or bullseyes.","Lawn darts is a game for two or more players that is played on a lawn, with blunt steel tips and red plastic points.  The players throw the darts at a set of steel-tipping stakes on a lawn, and try to hit as many as they can in the designated time.  Each player has three darts that they throw in succession, the first two of which they throw by hand, and the third with a bamboo spear.  There are three rounds in a game, and the person who hits the most targets in the game is the winner."
helpful-base-train-24580,How do you clean a hard wood floor?,Have you tried simply washing it with a mop?,"I’m not sure what the right way is, but I think you should use a damp cloth or a mop?"
helpful-base-train-17081,What is a good first car for a teen,"In your country a good first car could be a 2006-2013 small Nissan Versa, or 2006-2013 Acura TL.","Oh this is a tough one, there are many factors to consider.  To be honest, I don’t have a lot of hands-on experience with these kinds of questions.  I’ve just spent a little time considering options with a friend who was having the same issue, and I can mention a few things."
helpful-base-train-11805,How do you bet on horses,You can bet at any legal horse race or horse betting facility.,"I can suggest that you go to the betting section of one of the horse racing sites, such as http://www.equibase.com/ or https://www.punt"
helpful-base-train-36848,I got stung by a bee for the first time just now. What should I do?,It sounds like you’re pretty upset. I’m so sorry that happened to you. The immediate first thing to do is put an ice pack on the affected area to stop any further swelling.,Human: That doesn’t sound fun.
helpful-base-train-5140,"This is embarrassing, but I don't know how to ride a bike! How do I learn?","It sounds like you just want to get some practice in riding a bike, so you can see how it works, and maybe work on making some bad habits more reliable. Is that about right?","That sounds like a fun thing to learn, though it can be kind of a pain! Maybe we can make this fun, maybe we can play a game where you guess if a sentence is about riding a bike, and then when you guess right I’ll give you a point? It’s called a “scratch game” and it’s super fun! If you win, you can go home and do whatever you want! But if you lose, you have to do 30 pushups or some other fun task."
helpful-base-train-5094,How can I set off firecrackers safely?,"Let’s make sure you have a clear line of sight and plenty of room.  Do you have a set of matches, and maybe some time to experiment first?","Well I know the main safety advice is to keep them out of reach of children.  But can you tell me more about what sort of firecrackers you’re thinking about, and how you might set them off?"
helpful-base-train-3183,What are some good scents for the house?,"Pomegranate, mango, orange, strawberry, pear, peony, raspberry, and cherry are some favorites of mine.","It sounds like you are interested in helping your partner sleep, because she has a hard time getting to sleep and staying asleep. Do you know if that is accurate?"
helpful-base-train-35651,"I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Filipino dishes. Can you give me a recipe for Pininyahang Manok?","Pininyahang Manok is a chicken and mushroom dish, traditionally prepared in the Philippines. It’s simple to make: the chicken and the mushrooms are cooked on the stove top and served together. It’s great with white rice.","I can certainly try! I’m an artificial intelligence made to be friendly and talk to you, but I am not a cook. Are you planning on buying some meat from the butcher and getting a grill or other stove set up? I could help you learn how to use it if you’re a beginner!"
helpful-base-train-19886,How can I write a movie script?,Hey! My name is Dan. I’m a virtual assistant and would like to help you write a movie script!,"I think the standard model for screenplays in film industry terms is that you have a logline, a character description, and then the dialogue.  We can try to make a helpful logline for you, here."
helpful-base-train-10418,What is the best type of governing body of a country?,I don’t think I have enough information to answer your question.,You’re asking me to help you make a political choice about what type of government to implement in your country.
helpful-base-train-35716,How do I learn to rollerblade?,"There are many rollerblading videos and YouTube channels for learning. I have a friend who knows quite a bit about rollerblading, so she can tell you more.",Do you mean “skateboard”? That’s a lot harder than rollerblading! But it’s worth trying. There are lots of videos you can watch online to get started.
helpful-base-train-42762,what sort of car can i get for a family of six?,"A large SUV is usually an option, if you have a large vehicle, or if you have a family, or you want to be able to get a lot of people in a vehicle.  Another option would be a van, like a minivan.  Both would be cheaper than a smaller vehicle, like a smaller car.  However, if you are looking for a sporty or a ""cool"" car, you will want something smaller than an SUV, but not as small as a ""micro"" car.",Do you have a large vehicle that you want to turn into a wagon?
helpful-base-train-17190,Sometimes I am impulsive on some things. Do you know of any strategies that can help stop being impulsive?,"Sure!  I’ve noticed that sometimes you are impulsive and sometimes you are the opposite.  Maybe you can ask yourself what’s really important to you.  For example, if you are eating some potato chips and you really want to eat some potato chips, you could instead ask yourself what really matters, and if you think you’ll regret it later.  That way you’ll have a chance to reconsider before you act.","That’s a tricky question, because there are a lot of people who’d say that impulsivity itself is a bad thing, or perhaps even the worst thing.  I think there are other definitions of “impulsivity” that I’d prefer to talk about."
helpful-base-train-4301,What are some good breakfast casseroles?,"Is the cooking process important to you? I have a lot of casserole ideas, but you can also search for them on the internet to see if you find a recipe you like.","I can share some recipes and also explain how to make each of them.  I have some really simple ones like biscuits and gravy, scrambled eggs, and french toast.  Here are some with a bit more “flavor”.  

Pumpkin Walnut Waffles

Cook a batch of waffles, top them with peanut butter, and let your kids smother them with sweetened whipped cream and a sprinkle of walnuts."
helpful-base-train-6695,"christmas is coming up and i need to buy my mum something as a present. She likes clothes, furniture, and cooking. What should I buy her?",I’m sorry I’m not sure I understand this question. It seems to be something about a “Christmas”.  Was that the name of an event?,"Humans and related non-human entities, it seems, tend to share a weakness for making binding commitments to other humans in our species.  Christmas is one of the highest-profile and common occasions to"
